factor,type,impl,ic_fwd_1d,pval_fwd_1d,n_fwd_1d,trig_count,ic_fwd_7d,pval_fwd_7d,n_fwd_7d,ic_fwd_30d,pval_fwd_30d,n_fwd_30d,n_long_signals,n_short_signals,hit_rate_long_30d,hit_rate_short_30d
cap_029_yields_liquidity,macro_correlation,rule,0.009945587890678549,0.5665073641217531,3324,744.0,-0.0020294107457943964,0.9072271823746492,3300,-0.09654792839063715,4.275655923785047e-08,3208,744,0,0.40591397849462363,
cap_030_gold_safe_haven,macro_correlation,rule,-0.04533848563498071,0.008940718744430412,3324,788.0,-0.1046600548845483,1.6750544344306767e-09,3300,-0.18056199862185227,6.501664761954359e-25,3208,788,0,0.38578680203045684,
cap_062_m2_growth,macro_correlation,mock,,,0,,,,0,,,0,0,0,,
cap_063_ism_pmi,macro_correlation,mock,,,0,,,,0,,,0,0,0,,
cap_064_credit_spreads,macro_correlation,mock,,,0,,,,0,,,0,0,0,,
cap_037_halving_cycle,cycle_time,rule,0.037195107237926316,0.0320018595069279,3324,2488.0,0.07359186964078449,2.31964545908771e-05,3300,0.125032032658442,1.1871327294343603e-12,3208,1440,1048,0.5104166666666666,0.583969465648855
cap_038_4year_cycle,cycle_time,rule,0.044207856737092835,0.010801571402417408,3324,2052.0,0.08825255561422014,3.8200630676541805e-07,3300,0.14588313640983397,1.0071045872238128e-16,3208,1440,612,0.5104166666666666,0.7320261437908496
cap_041_dont_catch_falling_knives,risk_rule,rule,-0.02771089589213707,0.11018688092082748,3324,70.0,-0.014519587015065756,0.40438539645296667,3300,0.024369313738141336,0.16760953747166518,3208,0,70,,0.5857142857142857
cap_042_position_sizing,risk_rule,mock,,,0,,,,0,,,0,0,0,,
cap_043_cut_losses_early,risk_rule,mock,,,0,,,,0,,,0,0,0,,
cap_031_funding_extreme_neg,derivatives_signal,mock,,,0,,,,0,,,0,0,0,,
cap_032_funding_extreme_pos,derivatives_signal,mock,,,0,,,,0,,,0,0,0,,
cap_033_oi_climb,derivatives_signal,mock,,,0,,,,0,,,0,0,0,,
cap_034_liquidation_cluster,derivatives_signal,mock,,,0,,,,0,,,0,0,0,,
cap_059_funding_divergence,derivatives_signal,mock,,,0,,,,0,,,0,0,0,,
cap_060_basis_blowout,derivatives_signal,mock,,,0,,,,0,,,0,0,0,,
cap_061_options_skew,derivatives_signal,mock,,,0,,,,0,,,0,0,0,,
cap_035_exchange_inflow,onchain_signal,mock,,,0,,,,0,,,0,0,0,,
cap_036_lth_holding,onchain_signal,mock,,,0,,,,0,,,0,0,0,,
cap_066_stablecoin_supply,onchain_signal,mock,,,0,,,,0,,,0,0,0,,
cap_067_nvt_extreme,onchain_signal,mock,,,0,,,,0,,,0,0,0,,
cap_068_mvrv_zscore,onchain_signal,mock,,,0,,,,0,,,0,0,0,,
cap_039_fomc_risk_off,event_reaction,mock,,,0,,,,0,,,0,0,0,,
cap_040_etf_flows_proxy,event_reaction,mock,,,0,,,,0,,,0,0,0,,
emg_001_quarterly_vwap,indicator_rule,approx,0.014174824377409502,0.4139450068241651,3324,171.0,-0.010489026485308478,0.5469498447443824,3300,-0.00790786911706741,0.6543495852743265,3208,87,84,0.45977011494252873,0.4880952380952381
emg_005_4year_same_day_compare,cycle_time,rule,,,0,,,,0,,,0,0,0,,
emg_006_days_in_tight_range,cycle_time,rule,,,0,,,,0,,,0,0,0,,
emg_007_htf_reclaim_retest,structural_bias,approx,-0.013483128987854169,0.4370990865112437,3324,76.0,8.69473293948035e-05,0.9960162973949157,3300,0.05275601565161812,0.002799141525756912,3208,76,0,0.5921052631578947,
emg_008_w50ema_bull_bear_divider,indicator_rule,rule,-0.011029224972517971,0.5249976227237781,3324,108.0,0.018932264724553022,0.2769213842209036,3300,0.006514452162257939,0.7122518073321419,3208,54,54,0.5185185185185185,0.48148148148148145
emg_009_range_middle_filter,risk_rule,rule,,,0,,,,0,,,0,0,0,,
emg_010_broadening_wedge,pattern_setup,approx,-0.00813807579901234,0.6390517198789843,3324,100.0,0.01232599594681944,0.4790488531023204,3300,0.04948968401833818,0.005052268711144055,3208,65,35,0.6307692307692307,0.5428571428571428
emg_013_box_breakout,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
emg_014_horizontal_reclaim,indicator_rule,approx,0.029146662791392688,0.09292799750440957,3324,276.0,0.04883031675826569,0.005020755253415368,3300,0.08446733582627562,1.6606627345649707e-06,3208,276,0,0.5797101449275363,
emg_017_break_target_projection,pattern_setup,approx,0.0009495235461496403,0.9563588373317563,3324,176.0,0.009342901639545693,0.5916011434570962,3300,0.03520750607542736,0.046155737687646116,3208,105,71,0.5333333333333333,0.5492957746478874
emg_022_200w_mechanical_buy,indicator_rule,rule,0.01566037653095235,0.36673752887759525,3324,537.0,0.07625550948236816,1.1584098106243437e-05,3300,0.15791783493351355,2.312006028996083e-19,3208,537,0,0.6480446927374302,
emg_028_20w_200w_double_reclaim,indicator_rule,rule,0.0008090042967424635,0.9628121762853837,3324,108.0,0.01600491815157118,0.3580311918246173,3300,0.06772710237461335,0.00012357527370881124,3208,108,0,0.6296296296296297,
emg_029_200w_value_zone,indicator_rule,rule,0.014576060309525346,0.40085300005663577,3324,809.0,0.06904389174967016,7.202227456845166e-05,3300,0.17768573506004567,3.639132926106504e-24,3208,809,0,0.6328800988875154,
emg_027_ohlc_anchor_framework,structural_bias,approx,-0.009801617257945205,0.5721384857296271,3324,2939.0,0.03358663536572826,0.053703728897775034,3300,0.10932350860236477,5.359525970840219e-10,3208,691,684,0.5267727930535456,0.6154970760233918
emg_030_htf_close_anchor,structural_bias,rule,-0.024820898165873722,0.15251342207262816,3324,456.0,0.006436207823404215,0.7116837228409779,3300,-0.011947732699012295,0.4987419412049797,3208,243,213,0.48559670781893005,0.48826291079812206
emg_023_monthly_seasonality,cycle_time,rule,0.011047185819036118,0.5243229560863091,3324,2124.0,0.051952308494458005,0.0028328341882689176,3300,0.0707820034255478,6.007716055575633e-05,3208,1272,852,0.4834905660377358,0.5176056338028169
